City_ID,City,Latitude,Longitude,Max Temperature (°C),Humidity (%),Cloudiness (%),Wind Speed (MPH),Country,Date
442,Omboué,-1.5746,9.2618,75.9,88,99,2.06,GA,1669755511
443,Nampula,-15.1165,39.2666,73.35,75,93,4.21,MZ,1669755443
444,Sola,-13.8833,167.55,79.47,89,64,0.0,VU,1669755512
445,Alofi,-19.0595,-169.9187,80.49,74,75,9.22,NU,1669755512
446,Port Elizabeth,-33.918,25.5701,70.32,86,53,10.0,ZA,1669755512
447,Horsham,51.064,-0.3272,45.1,93,75,1.14,GB,1669755513
448,Riyadh,24.6877,46.7219,66.34,29,100,7.34,SA,1669754994
449,Balkhash,46.844,74.9804,13.03,54,100,18.81,KZ,1669755513
450,Saýat,38.7839,63.8803,37.27,60,6,4.85,TM,1669755513
451,Ampanihy,-24.7,44.75,71.98,74,100,3.94,MG,1669755513
452,Humboldt,40.6665,-123.9178,44.13,41,67,3.96,US,1669755513
453,Mehamn,71.0357,27.8492,37.35,81,75,10.36,NO,1669755514
454,Okhotsk,59.3833,143.3,4.48,88,100,21.72,RU,1669755514
455,Karpogory,64.0019,44.4451,21.85,94,100,4.88,RU,1669755514
456,San Borja,-14.8167,-66.85,99.3,28,73,7.76,BO,1669755514
457,Manzhouli,49.6,117.4333,-12.15,88,47,15.1,CN,1669755514
458,Miramar,25.9873,-80.2323,82.02,71,8,3.0,US,1669755514
459,Mareeba,-17.0,145.4333,76.46,97,78,1.63,AU,1669755515
460,Beringovskiy,63.05,179.3167,29.28,96,100,5.61,RU,1669755515
461,Basoko,1.2391,23.616,72.46,89,100,2.57,CD,1669755515
462,Maykor,59.0059,55.88,10.8,98,87,3.31,RU,1669755515
463,Blackwater,-23.5833,148.8833,69.48,90,100,8.7,AU,1669755515
464,Acapulco de Juárez,16.8634,-99.8901,83.73,65,100,5.93,MX,1669755516
465,Fandriana,-20.2333,47.3833,60.98,91,100,2.95,MG,1669755516
466,Aketi,2.7388,23.7833,70.16,99,99,2.86,CD,1669755516
467,Ibrā’,22.6906,58.5334,70.39,36,0,3.53,OM,1669755516
468,Onalaska,43.8844,-91.2351,40.32,95,100,19.57,US,1669755516
469,Urengoy,65.9667,78.3667,-0.13,99,98,4.85,RU,1669755517
470,Kumluca,36.3703,30.2869,62.46,79,97,2.42,TR,1669755517
471,Araouane,18.9048,-3.5265,72.03,15,100,9.44,ML,1669755517
472,Shakawe,-18.3667,21.85,78.91,38,66,6.4,BW,1669755517
473,Codrington,-38.2667,141.9667,54.73,82,72,4.34,AU,1669755517
474,Oyama,36.3,139.8,64.58,92,96,1.72,JP,1669755518
475,Garden City,42.3256,-83.331,52.48,75,100,13.31,US,1669755518
476,Kutum,14.2,24.6667,69.98,21,4,9.53,SD,1669755518
477,Launceston,-41.45,147.1667,57.61,78,13,9.22,AU,1669755518
478,Leh,34.1667,77.5833,20.34,52,99,1.79,IN,1669755450
479,Saint-Pierre,-21.3393,55.4781,75.9,69,0,4.61,RE,1669755518
480,Humberto de Campos,-2.5983,-43.4611,79.47,72,100,6.44,BR,1669755518
481,Faya,18.3851,42.4509,55.51,68,1,1.3,SA,1669755519
482,Port Lincoln,-34.7333,135.8667,58.06,72,65,7.18,AU,1669755519
483,Evensk,61.95,159.2333,8.49,91,93,9.84,RU,1669755519
484,Houma,29.5958,-90.7195,81.0,93,1,14.32,US,1669755519
485,Grindavik,63.8424,-22.4338,45.07,93,100,31.07,IS,1669755519
486,Narsaq,60.9167,-46.05,26.74,89,100,3.98,GL,1669755520
487,Dongsheng,39.8161,109.9776,0.75,23,0,8.86,CN,1669755520
488,Linxia Chengguanzhen,35.6003,103.2064,12.43,36,100,4.14,CN,1669755520
489,Nemuro,43.3236,145.575,40.66,77,100,20.69,JP,1669755520
490,São José da Coroa Grande,-8.8978,-35.1478,78.48,78,98,14.12,BR,1669755520
491,Seydi,39.4816,62.9137,43.75,60,6,1.59,TM,1669755521
492,Blackfoot,43.1905,-112.345,28.06,79,100,12.59,US,1669755521
493,Progreso,21.2833,-89.6667,89.11,57,25,12.03,MX,1669755521
494,Tādepallegūdem,16.8333,81.5,68.09,80,6,2.73,IN,1669755521
495,Novyy Nekouz,57.9029,38.07,7.59,96,88,3.53,RU,1669755521
496,Manjacaze,-24.7117,33.8828,65.5,72,0,4.34,MZ,1669755522
497,Konstantinovka,49.6167,127.9833,-4.49,94,100,9.71,RU,1669755522
498,Suoyarvi,62.0833,32.35,16.16,98,96,2.8,RU,1669755522
499,San Cristobal,7.7669,-72.225,71.78,96,100,1.32,VE,1669755522
500,Cantaura,9.3057,-64.3584,79.11,75,100,4.47,VE,1669755522
501,Raja,8.4596,25.678,81.16,32,97,2.82,SS,1669755522
